FrameNumber	ObjectNumber	FishCount	Xlocation	Ylocation
4	32	1	159.2706271	156.6314631
				
4	33	1	351.3738739	155.0289575
				
4	34	2	32.64905149	161.6341463
				
4	35	2	469.8485507	161.8144928
				
4	36	2	248.8018721	172.3588144
				
4	37	2	422.0103896	170.5753247
				
4	38	2	87.21037868	172.5189341
				
4	39	2	451.9231951	194.249616
				
4	40	1	298.9272376	180.9304572
				
4	41	2	391.5755556	183.7125926
				
4	42	2	116.0101394	185.5627376
				
4	43	2	201.9378673	187.6221662
				
4	44	1	45.78814628	202.0025221
				
4	45	2	333.0488959	199.4187697
				
4	46	2	149.93601	205.8732748
				
4	47	1	364.3633803	214.5483568
				
4	48	2	260.5943983	211.8392116
				
4	49	2	422.223782	221.6729975
				
4	50	2	188.3322476	225.8523344
				
4	51	0	453.9642857	229.2142857
				
4	52	2	68.97579618	230.9197452
				
5	1	2	82.47279793	28.41580311
				
5	2	2	42.43741935	35.76516129
				
5	3	2	258.7338073	39.32385466
				
5	4	1	205.382151	39.31235698
				
5	5	1	314.6214029	40.48651079
				
5	6	2	373.4854545	50.47454545
				
5	7	2	410.7838298	47.81021277
				
5	8	2	114.9686275	56.81699346
				
5	9	2	447.9982729	57.50172712
				
5	10	2	237.9772106	66.90428441
				
5	11	1	283.5059817	76.41238564
				
5	12	2	144.3202454	78.40613497
				
5	13	2	79.51216216	79.80135135
				
5	14	2	470.6910491	81.91434071
				
5	15	3	186.4119433	80.75202429
				
5	16	2	326.8910615	79.39478585
				
5	17	1	371.8938619	82.08695652
				
5	18	1	405.2013594	91.98300765
				
5	19	2	435.7011494	105.3260188
				
5	20	2	227.0872818	110.3948462
				
5	21	1	41.19803198	112.6924969
				
5	22	2	266.0051921	114.7850467
				
5	23	1	306.5360324	113.3643725
				
5	24	2	348.2353247	113.2716883
				
5	25	2	172.4181818	116.9829545
				
5	26	2	117.9300792	123.9828496
				
5	27	2	379.5018657	128.8889925
				
5	28	2	75.511772	133.6468401
				
5	29	2	209.7783109	146.7783109
				
5	30	2	417.651357	139.3674322
				
5	31	2	287.2980189	146.6468562
				
5	32	0	237.5273438	153.8164063
				
5	33	1	159.8917411	155.8381696
				
5	34	2	32.4248366	161.4026144
				
5	35	1	348.2990378	162.2783124
				
5	36	2	422.0531108	168.2549317
				
5	37	2	248.7320534	174.1494157
				
5	38	2	86.95300261	171.9738903
				
5	39	2	302.0637255	179.9626225
				
5	40	2	116.1043257	185.2684478
				
5	41	2	391.0419847	185.0591603
				
5	42	2	201.7963126	186.4705882
				
5	43	2	332.9213863	201.1851226
				
5	44	2	454.9699842	200.6516588
				
5	45	1	43.91073739	201.1759379
				
5	46	2	151.2146119	206.3447489
				
5	47	2	268.7234375	213.7125
				
5	48	1	366.1225444	215.1683817
				
5	49	2	188.3665158	226.0294118
				
5	50	2	67.43686869	231.3194444
				
6	1	2	82.35558583	27.20435967
				
6	2	2	43.95361528	34.33697135
				
6	3	2	260.2332714	38.39033457
				
6	4	1	315.9777035	37.23411371
				
6	5	1	205.2643805	40.92146018
				
6	6	3	408.9691032	47.12961567
				
6	7	2	374.0063442	50.99048374
				
6	8	2	113.8212824	55.82537517
				
6	9	2	445.1362229	57.21671827
				
6	10	2	238.4402985	68.0988806
				
6	11	1	320.0220936	75.71646502
				
6	12	1	280.5589286	76.14642857
				
6	13	2	20.00128535	75.89974293
				
6	14	2	143.4699387	77.33865031
				
6	15	2	79.56712673	79.05395232
				
6	16	2	467.8583815	80.63102119
				
6	17	2	186.9099804	81.1555773
				
6	18	1	367.9504425	87.77876106
				
6	19	1	404.2150206	94.03703704
				
6	20	2	434.2759315	106.5599194
				
6	21	2	226.5925926	111.1243386
				
6	22	2	40.52237001	112.7569528
				
6	23	2	266.2819203	115.3738509
				
6	24	2	171.8213429	117.5047962
				
6	25	1	305.9825905	115.1169916
				
6	26	0	363.2890792	115.2847966
				
6	27	3	117.9582807	124.1226296
				
6	28	2	339.9315654	128.6518392
				
6	29	2	462.9712016	126.8599801
				
6	30	2	379.292735	130.6848291
				
6	31	2	76.84146341	133.0636856
				
6	32	2	413.522686	142.3920145
				
6	33	2	210.5486982	146.9652845
				
6	34	2	287.4746172	147.9726027
				
6	35	1	159.1740113	154.9740113
				
6	36	2	32.95013477	161.7574124
				
6	37	2	350.5916988	164.8590734
				
6	38	2	469.1828829	163.5153153
				
6	39	2	247.4828125	170.8625
				
6	40	2	424.4490239	171.8785249
				
6	41	2	86.71801926	171.3865199
				
6	42	1	300.5509289	178.5112108
				
6	43	2	391.4197643	183.3318223
				
6	44	2	116.7712177	184.4833948
				
6	45	2	201.261233	185.2821317
				
6	46	2	334.7441105	200.6945573
				
6	47	1	43.48547718	201.4453665
				
6	48	2	454.5994764	199.4101222
				
6	49	2	151.5216853	206.1933086
				
6	50	2	266.3795494	212.0155979
				
6	51	1	367.4131627	214.786106
				
6	52	2	425.1792115	219.9516129
				
6	53	2	188.4419831	225.4187764
				
6	54	2	67.69649805	231.0038911
				
6	55	2	108.8024691	236.7641975
				
7	1	2	82.3931848	27.29226737
				
7	2	3	43.31865285	32.82901554
				
7	3	2	260.0450508	33.65101523
				
7	4	2	314.9147844	41.39117043
				
7	5	1	204.5298507	41.09701493
				
7	6	2	375.0351494	50.1397188
				
7	7	2	410.7852304	49.54403794
				
7	8	2	443.6212269	55.16747809
				
7	9	2	112.4116162	56.54166667
				
7	10	2	237.9878163	67.30084349
				
7	11	2	144.5018182	76.95757576
				
7	12	2	78.62451108	78.82268579
				
7	13	2	186.0401961	82.08137255
				
7	14	2	283.8446115	74.42522974
				
7	15	2	469.1948882	81.01597444
				
7	16	1	327.5934172	74.84317522
				
7	17	1	362.2204724	90.71653543
				
7	18	1	403.6483839	95.23114594
				
7	19	2	226.6663405	110.1604697
				
7	20	2	40.26699029	112.375
				
7	21	2	171.0046243	115.4427746
				
7	22	2	264.9689119	116.7709845
				
7	23	2	118.1319095	124.6482412
				
7	24	2	378.1242236	128.8913043
				
7	25	2	76.65894466	131.6048906
				
7	26	2	344.7533223	129.0232558
				
7	27	2	410.670073	142.1051095
				
7	28	2	213.44974	145.9081456
				
7	29	2	283.7114094	147.549217
				
7	30	1	159.4750911	155.0935601
				
7	31	2	33.9123506	160.0929615
				
7	32	2	86.79946524	171.605615
				
7	33	2	248.4059098	169.8413686
				
7	34	3	292.0559441	178.8776224
				
7	35	2	117.359375	185.7848558
				
7	36	2	200.8469285	184.6203424
				
7	37	3	43.12885906	200.1825503
				
7	38	2	451.6258352	201.4476615
				
7	39	2	151.3923166	205.2677532
				
7	40	2	269.417657	209.9125637
				
7	41	1	366.7067021	215.00929
				
